Employee_ID,Department,Years_of_Experience,Salary,Performance_Score
1,Marketing,18,196779,96.78174971104738
2,IT,12,94262,89.26703255569717
3,HR,2,175117,83.44941273571143
4,Marketing,10,73776,79.03433107182273
5,Marketing,4,178376,68.61413832808715
6,IT,14,187848,97.00667212288892
7,HR,16,142787,98.68319183776586
8,HR,15,177948,64.19604873687328
9,Marketing,8,105016,65.26819301721967
10,Finance,14,190546,74.28068767931133
11,Marketing,23,71959,72.42120714931237
12,Marketing,8,186602,99.72287313054103
13,Marketing,21,169101,58.79626263386727
14,Marketing,16,53748,50.90376818077604
15,IT,13,63545,74.69468575917173
16,HR,18,177659,58.94113546106644
17,IT,15,123530,68.32343922914299
18,IT,21,143557,87.20852615282811
19,IT,24,111087,86.04699621260647
20,Marketing,13,118840,65.40303959261946
21,Finance,9,168451,77.12701152774497
22,HR,15,101005,75.440703841938
23,Finance,13,89353,81.81663090929477
24,IT,1,102733,62.52309093027921
25,IT,7,115318,79.4935423780272
26,Finance,9,117172,98.94464291375044
27,Finance,24,143264,74.33710764797276
28,Finance,1,76736,95.3049393859277
29,IT,12,162859,71.71971827552143
30,IT,8,162181,67.50392038473379
31,HR,24,181926,82.25516810152824
32,HR,11,140084,83.44620298315499
33,IT,19,57392,93.20837825359516
34,Finance,17,105680,61.509263412077765
35,Finance,8,100859,74.95966899423762
36,HR,3,175657,78.60020996045915
37,IT,3,120467,88.42770071531545
38,HR,1,148506,52.18018858772169
39,HR,5,159751,99.72752553986706
40,Marketing,10,168906,73.49722569954714
41,Marketing,7,193760,63.978017089837934
42,Marketing,9,75342,94.17470111331295
43,Finance,7,156308,87.3859386948707
44,IT,9,156081,97.65359235119766
45,IT,8,139045,66.53751523352568
46,IT,12,84698,77.6382483417745
47,IT,2,160078,78.61462345854191
48,Marketing,1,130623,99.01657918580229
49,Finance,16,72671,53.767312800306414
50,Finance,23,143384,65.2848509643591
51,Marketing,23,136202,59.5455515575173
52,Finance,24,101663,63.42374284450784
53,Marketing,5,65708,74.26399371381578
54,IT,3,141906,68.63434335470247
55,Marketing,12,99811,69.73457334047362
56,IT,8,183883,92.21065703631557
57,IT,22,106250,96.5008417405416
58,HR,3,162547,53.520806542477196
59,Marketing,1,174249,60.445935880768005
60,HR,3,84754,83.55717584120254
61,Marketing,5,192483,67.93233906480819
62,Marketing,15,183983,62.70818245348694
63,HR,14,189752,64.76452942094694
64,HR,3,134896,66.12753821193003
65,Marketing,1,121295,92.43348974623372
66,Finance,5,150689,56.83106657210144
67,IT,23,61111,85.44554984550592
68,HR,14,87504,77.64099884539539
69,IT,7,182874,64.82550718238993
70,Finance,9,58155,70.98904282231382
71,Finance,15,89384,62.8103471797229
72,Finance,15,162561,80.57568554328402
73,HR,10,97254,54.07970902001202
74,Finance,13,71918,50.25924313869934
75,HR,19,135981,81.3947207474318
76,Finance,7,80306,59.71369767560211
77,IT,17,197718,53.54704584999638
78,IT,20,96843,69.83919136069441
79,Marketing,4,170975,52.53842655196985
80,IT,5,146601,94.33085744753299
81,Marketing,23,157512,51.38083859368523
82,IT,7,197443,78.94324477537793
83,HR,13,161472,71.92370615090435
84,IT,15,183121,83.60130676475997
85,Marketing,11,153727,66.4076333737366
86,Marketing,4,162893,57.75208083638721
87,Finance,13,70932,99.09204441552654
88,HR,7,167796,91.94667510346817
89,IT,19,79855,93.02023091558377
90,Finance,22,57400,62.5125680257932
91,IT,2,167858,51.94173672147116
92,IT,10,65151,65.16327573366114
93,Finance,13,116690,76.85412135983277
94,Finance,21,54499,66.33256208980204
95,Finance,6,56295,91.39345018937944
96,Finance,12,170885,63.577145790987096
97,Finance,12,176071,98.26259151953849
98,IT,20,109040,72.86325808068642
99,Finance,11,62183,92.10115375059907
100,HR,23,193946,59.71900169974365
